t,beta,r,d,gamma,sigma
106,0.011004216,0.042052045,0.001202728,0.000102159,0.05
107,0.011004216,0.042052045,0.001202728,0.000102159,0.05
108,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
109,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
110,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
111,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
112,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
113,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
114,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
115,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
116,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
117,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
118,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
119,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
120,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
121,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
122,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
123,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
124,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
125,0.014918564,0.026710513,0.001106732,9.61E-05,0.05
126,0.018101412,0.015964846,0.000639901,0.00010404,0.05
127,0.018101412,0.015964846,0.000639901,0.00010404,0.05
128,0.018101412,0.015964846,0.000639901,0.00010404,0.05
129,0.018101412,0.015964846,0.000639901,0.00010404,0.05
130,0.018101412,0.015964846,0.000639901,0.00010404,0.05
131,0.018101412,0.015964846,0.000639901,0.00010404,0.05
132,0.018101412,0.015964846,0.000639901,0.00010404,0.05
133,0.018101412,0.015964846,0.000639901,0.00010404,0.05
134,0.018101412,0.015964846,0.000639901,0.00010404,0.05
135,0.018101412,0.015964846,0.000639901,0.00010404,0.05
136,0.025058399,0.022219978,0.00057678,0.000101109,0.05
137,0.025058399,0.022219978,0.00057678,0.000101109,0.05
138,0.025058399,0.022219978,0.00057678,0.000101109,0.05
139,0.025058399,0.022219978,0.00057678,0.000101109,0.05
140,0.025058399,0.022219978,0.00057678,0.000101109,0.05
141,0.025058399,0.022219978,0.00057678,0.000101109,0.05
142,0.025058399,0.022219978,0.00057678,0.000101109,0.05
143,0.025058399,0.022219978,0.00057678,0.000101109,0.05
144,0.025058399,0.022219978,0.00057678,0.000101109,0.05
145,0.036681366,0.017285581,0.001128272,0.000101193,0.05
146,0.036681366,0.017285581,0.001128272,0.000101193,0.05
147,0.036681366,0.017285581,0.001128272,0.000101193,0.05
148,0.036681366,0.017285581,0.001128272,0.000101193,0.05
149,0.036681366,0.017285581,0.001128272,0.000101193,0.05
150,0.036681366,0.017285581,0.001128272,0.000101193,0.05
151,0.036681366,0.017285581,0.001128272,0.000101193,0.05
152,0.036681366,0.017285581,0.001128272,0.000101193,0.05
153,0.036681366,0.017285581,0.001128272,0.000101193,0.05
154,0.036681366,0.017285581,0.001128272,0.000101193,0.05
155,0.036681366,0.017285581,0.001128272,0.000101193,0.05
156,0.036681366,0.017285581,0.001128272,0.000101193,0.05
157,0.036681366,0.017285581,0.001128272,0.000101193,0.05
158,0.036681366,0.017285581,0.001128272,0.000101193,0.05
159,0.036681366,0.017285581,0.001128272,0.000101193,0.05
160,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
161,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
162,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
163,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
164,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
165,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
166,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
167,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
168,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
169,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
170,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
171,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
172,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
173,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
174,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
175,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
176,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
177,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
178,0.052408019,0.013934623,0.000309039,9.86E-05,0.05
179,0.040101217,0.017116689,0.000272622,0.000104205,0.05
180,0.040101217,0.017116689,0.000272622,0.000104205,0.05
181,0.040101217,0.017116689,0.000272622,0.000104205,0.05
182,0.040101217,0.017116689,0.000272622,0.000104205,0.05
183,0.040101217,0.017116689,0.000272622,0.000104205,0.05
184,0.040101217,0.017116689,0.000272622,0.000104205,0.05
185,0.040101217,0.017116689,0.000272622,0.000104205,0.05
186,0.040101217,0.017116689,0.000272622,0.000104205,0.05
187,0.040101217,0.017116689,0.000272622,0.000104205,0.05
188,0.040101217,0.017116689,0.000272622,0.000104205,0.05
189,0.040101217,0.017116689,0.000272622,0.000104205,0.05
190,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
191,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
192,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
193,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
194,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
195,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
196,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
197,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
198,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
199,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
200,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
201,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
202,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
203,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
204,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
205,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
206,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
207,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
208,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
209,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
210,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
211,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
212,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
213,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
214,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
215,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
216,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
217,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
218,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
