t,beta,r,d,gamma,sigma
106,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
107,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
108,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
109,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
110,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
111,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
112,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
113,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
114,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
115,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
116,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
117,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
118,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
119,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
120,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
121,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
122,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
123,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
124,0.027431881,0.008510842,0.000373981,9.99E-05,0.05
125,0.018458141,0.008529547,0.000365751,0.000100244,0.05
126,0.018458141,0.008529547,0.000365751,0.000100244,0.05
127,0.018458141,0.008529547,0.000365751,0.000100244,0.05
128,0.018458141,0.008529547,0.000365751,0.000100244,0.05
129,0.018458141,0.008529547,0.000365751,0.000100244,0.05
130,0.018458141,0.008529547,0.000365751,0.000100244,0.05
131,0.018458141,0.008529547,0.000365751,0.000100244,0.05
132,0.018458141,0.008529547,0.000365751,0.000100244,0.05
133,0.018057388,0.007477569,0.000311038,0.0001,0.05
134,0.018057388,0.007477569,0.000311038,0.0001,0.05
135,0.018057388,0.007477569,0.000311038,0.0001,0.05
136,0.018057388,0.007477569,0.000311038,0.0001,0.05
137,0.018057388,0.007477569,0.000311038,0.0001,0.05
138,0.018057388,0.007477569,0.000311038,0.0001,0.05
139,0.018057388,0.007477569,0.000311038,0.0001,0.05
140,0.018057388,0.007477569,0.000311038,0.0001,0.05
141,0.011291583,0.00638857,0.000247729,0.000102091,0.05
142,0.011291583,0.00638857,0.000247729,0.000102091,0.05
143,0.011291583,0.00638857,0.000247729,0.000102091,0.05
144,0.011291583,0.00638857,0.000247729,0.000102091,0.05
145,0.011291583,0.00638857,0.000247729,0.000102091,0.05
146,0.011291583,0.00638857,0.000247729,0.000102091,0.05
147,0.011291583,0.00638857,0.000247729,0.000102091,0.05
148,0.011291583,0.00638857,0.000247729,0.000102091,0.05
149,0.011291583,0.00638857,0.000247729,0.000102091,0.05
150,0.011291583,0.00638857,0.000247729,0.000102091,0.05
151,0.011291583,0.00638857,0.000247729,0.000102091,0.05
152,0.011291583,0.00638857,0.000247729,0.000102091,0.05
153,0.011291583,0.00638857,0.000247729,0.000102091,0.05
154,0.011291583,0.00638857,0.000247729,0.000102091,0.05
155,0.011291583,0.00638857,0.000247729,0.000102091,0.05
156,0.011291583,0.00638857,0.000247729,0.000102091,0.05
157,0.011291583,0.00638857,0.000247729,0.000102091,0.05
158,0.011291583,0.00638857,0.000247729,0.000102091,0.05
159,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
160,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
161,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
162,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
163,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
164,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
165,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
166,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
167,0.00971567,0.005547042,0.000211004,9.99E-05,0.05
168,0.010182802,0.005023671,0.000173361,0.000104851,0.05
169,0.010182802,0.005023671,0.000173361,0.000104851,0.05
170,0.010182802,0.005023671,0.000173361,0.000104851,0.05
171,0.010182802,0.005023671,0.000173361,0.000104851,0.05
172,0.010182802,0.005023671,0.000173361,0.000104851,0.05
173,0.010182802,0.005023671,0.000173361,0.000104851,0.05
174,0.010182802,0.005023671,0.000173361,0.000104851,0.05
175,0.010182802,0.005023671,0.000173361,0.000104851,0.05
176,0.010182802,0.005023671,0.000173361,0.000104851,0.05
177,0.010182802,0.005023671,0.000173361,0.000104851,0.05
178,0.01008123,0.00600094,0.000189167,0.000103443,0.05
179,0.01008123,0.00600094,0.000189167,0.000103443,0.05
180,0.01008123,0.00600094,0.000189167,0.000103443,0.05
181,0.01008123,0.00600094,0.000189167,0.000103443,0.05
182,0.01008123,0.00600094,0.000189167,0.000103443,0.05
183,0.01008123,0.00600094,0.000189167,0.000103443,0.05
184,0.01008123,0.00600094,0.000189167,0.000103443,0.05
185,0.01008123,0.00600094,0.000189167,0.000103443,0.05
186,0.010767182,0.004993128,0.000164156,0.000105181,0.05
187,0.010767182,0.004993128,0.000164156,0.000105181,0.05
188,0.010767182,0.004993128,0.000164156,0.000105181,0.05
189,0.010767182,0.004993128,0.000164156,0.000105181,0.05
190,0.010767182,0.004993128,0.000164156,0.000105181,0.05
191,0.010767182,0.004993128,0.000164156,0.000105181,0.05
192,0.010767182,0.004993128,0.000164156,0.000105181,0.05
193,0.010767182,0.004993128,0.000164156,0.000105181,0.05
194,0.010767182,0.004993128,0.000164156,0.000105181,0.05
195,0.010767182,0.004993128,0.000164156,0.000105181,0.05
196,0.010767182,0.004993128,0.000164156,0.000105181,0.05
197,0.010767182,0.004993128,0.000164156,0.000105181,0.05
198,0.010767182,0.004993128,0.000164156,0.000105181,0.05
199,0.010767182,0.004993128,0.000164156,0.000105181,0.05
200,0.010767182,0.004993128,0.000164156,0.000105181,0.05
201,0.015427111,0.005661854,0.000175694,0.000104617,0.05
202,0.015427111,0.005661854,0.000175694,0.000104617,0.05
203,0.015427111,0.005661854,0.000175694,0.000104617,0.05
204,0.015427111,0.005661854,0.000175694,0.000104617,0.05
205,0.015427111,0.005661854,0.000175694,0.000104617,0.05
206,0.015427111,0.005661854,0.000175694,0.000104617,0.05
207,0.015427111,0.005661854,0.000175694,0.000104617,0.05
208,0.015427111,0.005661854,0.000175694,0.000104617,0.05
209,0.015427111,0.005661854,0.000175694,0.000104617,0.05
210,0.015427111,0.005661854,0.000175694,0.000104617,0.05
211,0.015427111,0.005661854,0.000175694,0.000104617,0.05
212,0.015427111,0.005661854,0.000175694,0.000104617,0.05
213,0.015427111,0.005661854,0.000175694,0.000104617,0.05
214,0.015427111,0.005661854,0.000175694,0.000104617,0.05
215,0.015427111,0.005661854,0.000175694,0.000104617,0.05
216,0.015427111,0.005661854,0.000175694,0.000104617,0.05
217,0.015427111,0.005661854,0.000175694,0.000104617,0.05
218,0.015427111,0.005661854,0.000175694,0.000104617,0.05
219,0.015427111,0.005661854,0.000175694,0.000104617,0.05
220,0.015427111,0.005661854,0.000175694,0.000104617,0.05
221,0.015427111,0.005661854,0.000175694,0.000104617,0.05
222,0.015427111,0.005661854,0.000175694,0.000104617,0.05
223,0.023065217,0.007110208,0.000201509,0.00010459,0.05
224,0.023065217,0.007110208,0.000201509,0.00010459,0.05
225,0.023065217,0.007110208,0.000201509,0.00010459,0.05
226,0.023065217,0.007110208,0.000201509,0.00010459,0.05
227,0.023065217,0.007110208,0.000201509,0.00010459,0.05
228,0.023065217,0.007110208,0.000201509,0.00010459,0.05
229,0.023065217,0.007110208,0.000201509,0.00010459,0.05
230,0.023065217,0.007110208,0.000201509,0.00010459,0.05
231,0.023065217,0.007110208,0.000201509,0.00010459,0.05
232,0.023065217,0.007110208,0.000201509,0.00010459,0.05
233,0.023065217,0.007110208,0.000201509,0.00010459,0.05
234,0.023065217,0.007110208,0.000201509,0.00010459,0.05
235,0.023065217,0.007110208,0.000201509,0.00010459,0.05
236,0.023065217,0.007110208,0.000201509,0.00010459,0.05
237,0.023065217,0.007110208,0.000201509,0.00010459,0.05
238,0.023065217,0.007110208,0.000201509,0.00010459,0.05
239,0.023065217,0.007110208,0.000201509,0.00010459,0.05
240,0.023065217,0.007110208,0.000201509,0.00010459,0.05
241,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
242,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
243,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
244,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
245,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
246,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
247,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
248,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
249,0.021317556,0.008961664,0.000238497,9.77E-05,0.05
250,0.023072354,0.009373335,0.000284463,0.000106601,0.05
251,0.023072354,0.009373335,0.000284463,0.000106601,0.05
252,0.023072354,0.009373335,0.000284463,0.000106601,0.05
253,0.023072354,0.009373335,0.000284463,0.000106601,0.05
254,0.023072354,0.009373335,0.000284463,0.000106601,0.05
255,0.023072354,0.009373335,0.000284463,0.000106601,0.05
256,0.023072354,0.009373335,0.000284463,0.000106601,0.05
257,0.023072354,0.009373335,0.000284463,0.000106601,0.05
258,0.023072354,0.009373335,0.000284463,0.000106601,0.05
259,0.023072354,0.009373335,0.000284463,0.000106601,0.05
260,0.023072354,0.009373335,0.000284463,0.000106601,0.05
261,0.023072354,0.009373335,0.000284463,0.000106601,0.05
